Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2016,"LUBETZ, A. (co-taught)",ARC,48519,ARCH DES ST: TH II,A,Lect,4,7,57%,23,5,4,4.5,4.5,5,4.5,5,4.75,4.75
Spring,2016,"ARSCOTT, M. (co-taught)",ARC,48519,ARCH DES ST: TH II,A,Lect,4,7,57%,23,5,4.25,4.75,5,4.75,5,5,5,4.75
Spring,2016,"CUPKOVA, D. (co-taught)",ARC,48519,ARCH DES ST: TH II,A,Lect,4,7,57%,23,4.75,4,4.5,4.75,4.75,4.75,4.75,4.75,4.5
Spring,2016,JOHN FOLAN,ARC,48521,UDBS CONSTCTN ADMSTR,A,Lect,3,8,38%,10,4.33,4.33,4.33,3.67,4.67,4,4.33,4.33,4.33
Spring,2016,DARAGH BYRNE,ARC,48528,RES MOB ENV,A,Lect,4,11,36%,8,4,3,3.25,3.5,3.5,3.25,4,3.5,3
Spring,2016,rtursky,ARC,48545,MKG INTL,A,Lect,2,8,25%,11,3.5,3.5,3,2,2.5,2.5,2,2.5,4
Fall,2016,MICHAEL JEFFERS,ARC,48545,MKG INTL,A,Lect,3,7,43%,14,4.67,4,4.33,4.67,4.67,4.33,4.67,4.33,4
Spring,2016,rtursky,ARC,48545,MKG INTL,B,Lect,2,2,100%,5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Spring,2016,rtursky,ARC,48555,INTRO ARC ROBO,A,Lect,5,10,50%,13,4.6,3.8,4,3.8,4,4.4,4.2,3.8,4
Fall,2016,MICHAEL JEFFERS,ARC,48555,INTRO ARC ROBO,B,Lect,1,3,33%,8,3,4,4,4,4,3,4,3,3
Spring,2016,SCOTT SMITH,ARC,48564,FURNITURE DES & CONS,A,Lect,1,4,25%,14,5,4,5,5,3,4,4,4,5
Fall,2016,KRISTEN KURLAND,ARC,48568,ADV CAD BIM 3D VISLZ,A,Lect,16,18,89%,8.25,4.94,4.94,5,4.25,4.81,4.81,4.94,4.94,4.81
Spring,2016,KRISTEN KURLAND,ARC,48569,GIS CAFM,A,Lect,16,16,100%,7.81,4.44,4.75,4.75,4.31,4.69,4.69,4.69,4.44,4.56
Spring,2016,CYNTHIA LIMAURO,ARC,48587,ARCH LIGHTING DESIGN,A,Lect,3,5,60%,7,4.33,4.67,4.67,4.33,4.67,4.33,4.67,4.67,4.67
Fall,2016,MAN KIM,ARC,48599,INDEPENDENT STUDY,A,Lect,1,2,50%,8,5,5,5,5,5,5,5,5,5
Fall,2016,SCOTT SMITH,ARC,48600,ARCH DSGN STUDIO,A,Lect,1,2,50%,21,4,3,4,4,4,4,5,5,5
Fall,2016,RAMESH KRISHNAMURTI,ARC,48624,PARAMETRIC MODELING,A,Lect,10,13,77%,14.67,4.1,4.2,4.3,4,3.8,4,4.6,3.7,4.1
