Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Fall,2016,"GERSHMAN, A. (co-taught)",CS,15291,APPLD CMP INTEL LAB,A,Lect,1,14,7%,11,4,4,4,4,4,4,4,4,4
Spring,2016,THOMAS CORTINA,CS,15292,ST HISTORY COMPUTING,A3,Lect,15,25,60%,7,4.87,4.8,4.4,4.07,4.53,4.73,4.87,4.73,4.33
Fall,2016,DAVID TOURETZKY,CS,15294,ST: RAPID PROTYP TEC,A1,Lect,7,17,41%,8,4.57,4.86,4.86,4.29,4.57,4.57,4.86,4.57,4.57
Fall,2016,DAVID TOURETZKY,CS,15294,ST: RAPID PROTYP TEC,A2,Lect,9,22,41%,9.11,4.78,4.89,5,4.78,4.78,4.89,4.89,4.67,4.78
Spring,2016,DAVID TOURETZKY,CS,15294,ST: RAPID PROTYP TEC,A3,Lect,7,21,33%,7.57,4,4.43,4.43,4.14,3.86,4.14,4.43,4.14,4.14
Spring,2016,DAVID TOURETZKY,CS,15294,ST: RAPID PROTYP TEC,A4,Lect,12,24,50%,7.5,4.58,4.58,4.67,4.17,4.67,4.75,4.17,4.58,4.58
Spring,2016,DANIEL SLEATOR,CS,15295,COMPTN PGMG PBL SLVG,A,Lect,11,30,37%,3.67,4.2,4.5,4.2,4,4.2,4.1,4.8,4.2,4.2
Fall,2016,DANIEL SLEATOR,CS,15295,COMPTN PGMG PBL SLVG,A,Lect,10,23,43%,3.2,4.8,4.9,4.8,4.6,4.6,4.7,4.8,4.7,4.8
Spring,2016,CAROL FRIEZE,CS,15296,ST:IMAGES OF COMPTNG,A4,Lect,5,11,45%,4.4,4.8,4.8,4.6,4.6,4.4,4.6,5,4.8,4.6
Fall,2016,"MOWRY, T. (co-taught)",CS,15300,RSRCH & INNOV IN CS,1,Lect,16,26,62%,6.31,4.38,4.06,4.06,3.69,3.81,3.94,4.44,3.94,3.81
Fall,2016,"ALDRICH, J. (co-taught)",CS,15300,RSRCH & INNOV IN CS,1,Lect,16,26,62%,6.2,4.25,4,4,3.75,3.81,3.88,4.38,3.81,3.69
Spring,2016,MARY DIAS,CS,15302,ST: INNV UNDSRVD COM,A3,Lect,7,16,44%,4.57,4.71,4.29,4.43,4.43,4.71,4.57,4.86,4.71,4.29
Spring,2016,MARY DIAS,CS,15303,ST:SM INNVG UNDS COM,A4,Lect,13,18,72%,7.08,5,4.85,4.92,4.92,5,4.92,5,5,5
Spring,2016,ROBERT HARPER,CS,15312,FNDTNS PROGRMG LANG,1,Lect,24,36,67%,12.29,4.29,4.5,4.25,3.79,4.33,4.29,4,4.13,4.04
Fall,2016,"KASTNER, C. (co-taught)",CS,15313,FNDTNS SFTWR ENGNRNG,1,Lect,10,22,45%,11.9,4.7,4.8,4.9,4.6,4.9,4.7,4.8,4.7,4.6
Fall,2016,"LE GOUES, C. (co-taught)",CS,15313,FNDTNS SFTWR ENGNRNG,1,Lect,10,22,45%,11.9,4.8,4.8,4.9,4.7,4.9,4.8,4.9,4.8,4.6
Fall,2016,ANDRE PLATZER,CS,15317,CONSTRUCTIVE LOGIC,1,Lect,37,54,69%,9.08,4.16,3.89,3.81,3.49,3.49,3.84,4.41,3.59,3.5
Fall,2016,"GOLDSTEIN, S. (co-taught)",CS,15319,CLOUD COMPUTING,A,Lect,2,5,40%,19,4,4.5,4.5,4,4.5,4,4,4.5,4
Fall,2016,"SAKR, M. (co-taught)",CS,15319,CLOUD COMPUTING,A,Lect,2,5,40%,17,4,4.5,4.5,4,4.5,4,4,4.5,4
Spring,2016,MAJD SAKR,CS,15319,CLOUD COMPUTING,B,Lect,2,3,67%,15.5,5,5,5,5,5,5,5,5,5
Spring,2016,JESSE STILES,CS,15322,INTRO COMPUTER MUSIC,A,Lect,28,59,47%,7.79,3.89,3.75,3.61,3.32,3.82,3.26,4.21,3.75,3
Fall,2016,JESSE STILES,CS,15322,INTRO COMPUTER MUSIC,A,Lect,8,24,33%,6.88,4.13,4.13,4,3.63,4.63,4,4.86,4,3.88
Spring,2016,ROGER DANNENBERG,CS,15323,COMPTR MUSIC SYSTEMS,A,Lect,2,9,22%,9.5,4.5,3.5,3.5,4,4.5,4,4.5,4,4
Spring,2016,SAQUIB RAZAK,CS,15348,EMBEDDED SYSTEMS,W,Lect,4,8,50%,8.75,5,5,5,5,5,5,5,5,4.75
Spring,2016,VICTOR ADAMCHIK,CS,15351,ALGO ADV DATA STRUCT,A,Lect,2,6,33%,14,4.5,3.5,3.5,4,4,4.5,4.5,4,4
Fall,2016,JIAN MA,CS,15351,ALGO ADV DATA STRUCT,A,Lect,15,27,56%,8.23,2.87,3,3.2,2.27,3,2.67,3.67,2.53,2.6
Spring,2016,VICTOR ADAMCHIK,CS,15355,MDRN COMPUTR ALGEBRA,A,Lect,16,31,52%,7.44,3.94,3.25,3.69,2.69,3.88,4,3.88,3.38,3.25
Fall,2016,MOR HARCHOL-BALTER,CS,15359,PROBABILITY & COMPTG,1,Lect,39,59,66%,11.11,4.82,4.87,4.87,4.59,4.87,4.9,4.62,4.85,4.72
Fall,2016,"BRUNSKILL, E. (co-taught)",CS,15381,AI RPRSNTN & PRB SLV,A,Lect,24,41,59%,11,4.25,4.08,4.08,3.88,4.21,3.88,4.63,3.88,3.92
Fall,2016,"PROCACCIA, A. (co-taught)",CS,15381,AI RPRSNTN & PRB SLV,A,Lect,24,41,59%,10.74,4.75,4.63,4.71,4.46,4.63,4.67,4.75,4.58,4.17
Fall,2016,TAI-SING LEE,CS,15387,COMPTNL PERCEPTN,A,Lect,3,6,50%,9,5,4,4.67,5,5,4.67,5,4.67,4.67
